mes_aba,data,descricao,valor,tipo,categoria,status_import,member_id,received_from_other
JAN25,2025-01-01,,650.0,receita,Dízimo,OK,,true
JAN25,2025-01-03,,3400.0,despesa,Material de Construção,OK,,
JAN25,2025-01-05,Dízimo,119.0,receita,Dízimo,OK,,true
JAN25,2025-01-05,,150.0,receita,Dízimo,OK,,true
JAN25,2025-01-05,,15.0,receita,Oferta,OK,,true
JAN25,2025-01-05,Oferta,55.3,receita,Oferta,OK,,true
JAN25,2025-01-07,dízimo,450.0,receita,Dízimo,OK,,true
JAN25,2025-01-07,dízimo,324.5,receita,Dízimo,OK,,true
JAN25,2025-01-07,,163.0,receita,Dízimo,OK,,true
JAN25,2025-01-07,,65.0,receita,Dízimo,OK,,true
JAN25,2025-01-07,,100.0,receita,Dízimo,OK,,true
JAN25,2025-01-07,,324.5,receita,Dízimo,OK,,true
JAN25,2025-01-07,,127.02,receita,Dízimo,OK,,true
JAN25,2025-01-07,,151.0,receita,Dízimo,OK,,true
JAN25,2025-01-08,dízimo,278.0,receita,Dízimo,OK,,true
JAN25,2025-01-08,dízimo,213.0,receita,Dízimo,OK,,true
JAN25,2025-01-08,Dízimo,105.0,receita,Dízimo,OK,,true
JAN25,2025-01-08,,190.0,receita,Dízimo,OK,,true
JAN25,2025-01-08,Oferta,22.85,receita,Oferta,OK,,true
JAN25,2025-01-08,dízimo,165.0,receita,Dízimo,OK,,true
JAN25,2025-01-09,,213.0,receita,Dízimo,OK,,true
JAN25,2025-01-10,,70.0,receita,Dízimo,OK,,true
JAN25,2025-01-11,,15.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,copo descartáveis,10.0,despesa,,REVISAR,,
JAN25,2025-01-12,dízimo,240.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,dízimo,152.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,dízimo,155.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,dízimo,170.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,dízimo,120.0,receita,Dízimo,OK,,true
JAN25,2025-01-12,,213.0,receita,Oferta,OK,,true
JAN25,2025-01-12,,20.0,receita,Oferta,OK,,true
JAN25,2025-01-12,oferta,170.55,receita,Oferta,OK,,true
JAN25,2025-01-13,,240.0,receita,Dízimo,OK,,true
JAN25,2025-01-15,,400.0,despesa,Zeladoria,OK,,
JAN25,2025-01-15,,2000.0,despesa,Mão de obra,OK,,
JAN25,2025-01-15,dízimo,119.9,receita,Dízimo,OK,,true
JAN25,2025-01-15,Oferta,55.85,receita,Oferta,OK,,true
JAN25,2025-01-16,,35.0,receita,Dízimo,OK,,true
JAN25,2025-01-18,,50.0,despesa,Mão de obra,OK,,
JAN25,2025-01-18,,40.0,receita,Dízimo,OK,,true
JAN25,2025-01-19,,241.0,receita,Dízimo,OK,,true
JAN25,2025-01-19,dízimo,130.0,receita,Dízimo,OK,,true
JAN25,2025-01-19,dízimo,250.0,receita,Dízimo,OK,,true
JAN25,2025-01-19,oferta,37.0,receita,Oferta,OK,,true
JAN25,2025-01-19,dízimo,150.0,receita,Dízimo,OK,,true
JAN25,2025-01-20,,44.5,receita,Dízimo,OK,,true
JAN25,2025-01-22,,64.0,despesa,Conta de água,OK,,
JAN25,2025-01-22,Oferta,165.9,receita,Oferta,OK,,true
JAN25,2025-01-23,,29.3,despesa,Equipamentos,OK,,
JAN25,2025-01-24,,20.0,receita,Dízimo,OK,,true
JAN25,2025-01-24,,140.0,receita,Dízimo,OK,,true
JAN25,2025-01-26,Pilhas,43.78,despesa,Utilidades,OK,,
JAN25,2025-01-26,dízimo,130.0,receita,Dízimo,OK,,true
JAN25,2025-01-26,dízimo,1326.0,receita,Dízimo,OK,,true
JAN25,2025-01-26,,80.0,receita,Oferta,OK,,true
JAN25,2025-01-26,oferta,85.6,receita,Oferta,OK,,true
JAN25,2025-01-27,Mão de obra piso da igreja,1563.65,despesa,Mão de obra,OK,,
JAN25,2025-01-28,,152.0,receita,Dízimo,OK,,true
JAN25,2025-01-28,,15.89,receita,Oferta,OK,,true
JAN25,2025-01-29,Dízimo,45.0,receita,Dízimo,OK,,true
JAN25,2025-01-29,,510.0,receita,Dízimo,OK,,true
JAN25,2025-01-29,Oferta,134.0,receita,Oferta,OK,,true
JAN25,2025-01-30,,252.15,receita,Dízimo,OK,,true
JAN25,2025-01-31,,3075.78,despesa,Prebenda Pastoral,OK,,
JAN25,2025-01-31,,70.0,receita,Dízimo,OK,,true
JAN25,2025-01-31,dízimo,150.0,receita,Dízimo,OK,,true
JAN25,2025-01-31,dízimo,770.0,receita,Dízimo,OK,,true
JAN25,2025-01-31,dízimo,40.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,Gasolina (Luziânia),105.0,despesa,Combustível,OK,,
FEV25,2025-02-02,dízimo,125.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,dízimo,152.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,,40.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,,60.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,dízimo,365.0,receita,Dízimo,OK,,true
FEV25,2025-02-02,oferta,116.15,receita,Oferta,OK,,true
FEV25,2025-02-03,,150.0,receita,Dízimo,OK,,true
FEV25,2025-02-04,,103.54,despesa,Internet,OK,,
FEV25,2025-02-05,Oferta para o Pr. Alexandre Rodrigues,300.0,despesa,Pregador da noite (convidado),OK,,
FEV25,2025-02-05,Oferta,28.85,receita,Oferta,OK,,true
FEV25,2025-02-06,,127.07,receita,Dízimo,OK,,true
FEV25,2025-02-06,,90.0,receita,Dízimo,OK,,true
FEV25,2025-02-06,,180.0,receita,Dízimo,OK,,true
FEV25,2025-02-06,,148.0,receita,Dízimo,OK,,true
FEV25,2025-02-06,Dízimo,180.0,receita,Dízimo,OK,,true
FEV25,2025-02-06,,117.51,receita,Dízimo,OK,,true
FEV25,2025-02-06,,160.0,receita,Dízimo,OK,,true
FEV25,2025-02-06,,170.0,receita,Dízimo,OK,,true
FEV25,2025-02-07,,140.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,,20.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,20.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,117.51,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,250.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,150.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,150.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,oferta,226.05,receita,Oferta,OK,,true
FEV25,2025-02-09,Dízimo,289.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,115.0,receita,Dízimo,OK,,true
FEV25,2025-02-09,Dízimo,170.0,receita,Dízimo,OK,,true
FEV25,2025-02-10,Oferta,500.0,despesa,Cantor(a) convidado,OK,,
FEV25,2025-02-10,Oferta,600.0,despesa,Pregador da noite (convidado),OK,,
FEV25,2025-02-10,,500.0,receita,Dízimo,OK,,true
FEV25,2025-02-11,,3400.0,despesa,Material de Construção,OK,,
FEV25,2025-02-12,,300.0,despesa,Cantor(a) convidado,OK,,
FEV25,2025-02-12,Oferta,20.45,receita,Oferta,OK,,true
FEV25,2025-02-14,,400.0,despesa,Zeladoria,OK,,
FEV25,2025-02-14,,720.0,receita,Dízimo,OK,,true
FEV25,2025-02-15,,80.24,receita,Dízimo,OK,,true
