mes_aba,data,descricao,valor,tipo,categoria,status_import,member_id,received_from_other
JAN26,2026-01-04,Dízimo,152.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-04,Dízimo,160.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-04,Oferta,29.00,receita,Oferta,OK,,Importação 2026
JAN26,2026-01-05,Bateria 9v,45.00,despesa,Instrumentos & Acessórios,OK,,
JAN26,2026-01-05,Dízimo,200.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-05,Dízimo,250.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-06,Dízimo,170.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-07,Gás,130.00,despesa,Gás,OK,,
JAN26,2026-01-07,Dízimo,150.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-07,Dízimo,195.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-08,Dízimo,583.80,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-08,Dízimo,290.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-08,Dízimo,80.24,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-09,Pedaleira,323.00,despesa,Instrumentos & Acessórios,OK,,
JAN26,2026-01-09,App,75.00,despesa,App da igreja,OK,,
JAN26,2026-01-09,Dízimo,340.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-10,Dízimo,80.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Pilhas,131.00,despesa,Instrumentos & Acessórios,OK,,
JAN26,2026-01-11,Zeladoria,360.00,despesa,Zeladoria,OK,,
JAN26,2026-01-11,Gasolina,92.98,despesa,Combustível,OK,,
JAN26,2026-01-11,Dízimo,100.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,50.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,160.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,16.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,230.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,160.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,150.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,160.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Dízimo,550.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-11,Oferta,67.25,receita,Oferta,OK,,Importação 2026
JAN26,2026-01-12,Gasolina,100.00,despesa,Combustível,OK,,
JAN26,2026-01-12,Dízimo,270.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-12,Dízimo,170.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-16,Lembrança visitantes,73.00,despesa,Outros,OK,,
JAN26,2026-01-16,Dízimo,200.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-16,Dízimo,1260.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-16,Dízimo,50.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-17,Dízimo,113.50,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-18,Gasolina,100.00,despesa,Combustível,OK,,
JAN26,2026-01-18,Dízimo,160.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-18,Dízimo,280.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-18,Oferta,94.50,receita,Oferta,OK,,Importação 2026
JAN26,2026-01-19,,32.00,despesa,Outros,OK,,
JAN26,2026-01-20,Gasolina,100.00,despesa,Combustível,OK,,
JAN26,2026-01-21,Dízimo,55.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-27,Dízimo,163.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-28,Canvas,290.00,despesa,Outros,OK,,
JAN26,2026-01-28,App,75.00,despesa,App da igreja,OK,,
JAN26,2026-01-28,Dízimo,350.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-01,Dízimo,135.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-01,Dízimo,130.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-01,Oferta,30.80,receita,Oferta,OK,,Importação 2026
FEV26,2026-02-02,Dízimo,80.24,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-02,Dízimo,70.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-03,Baterias 9v,35.00,despesa,Instrumentos & Acessórios,OK,,
FEV26,2026-02-03,Cálices,150.00,despesa,Santa Ceia,OK,,
FEV26,2026-02-03,Dízimo,200.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-03,Dízimo,500.00,receita,Dízimo,OK,,Importação 2026
JAN26,2026-01-31,Prebenda Pastoral,2246.79,despesa,Prebenda Pastoral,OK,,
FEV26,2026-02-04,Água,32.00,despesa,Água,OK,,
FEV26,2026-02-04,Dízimo,340.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-05,Dízimo,300.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-05,Dízimo,250.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-05,Dízimo,186.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-05,Dízimo,280.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-06,Berço pra igreja,400.00,despesa,Móveis,OK,,
FEV26,2026-02-06,Dízimo,180.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-06,Dízimo,150.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-07,Dízimo,245.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-08,,658.50,despesa,Outros,OK,,
FEV26,2026-02-08,Pele bateria + protetor,143.88,despesa,Instrumentos & Acessórios,OK,,
FEV26,2026-02-08,Pedaleira,327.24,despesa,Instrumentos & Acessórios,OK,,
FEV26,2026-02-08,Zeladoria,360.00,despesa,Zeladoria,OK,,
FEV26,2026-02-12,Dízimo,287.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-13,Dízimo,90.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-15,Dízimo,142.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-15,Oferta,37.50,receita,Oferta,OK,,Importação 2026
FEV26,2026-02-16,Cordas violão,61.00,despesa,Instrumentos & Acessórios,OK,,
FEV26,2026-02-18,Dízimo,100.00,receita,Dízimo,OK,,Importação 2026
FEV26,2026-02-19,Moises Vime,176.00,despesa,Outros,OK,,
